dat	oli	pal	rap	soy	sun	pop	con
1973	58.99014778	11	18.31274101	25.48436438	41.42752918	63.95845192	36.81328782
1974	60.26272578	11	17.23459511	29.87763426	50.01215953	65.20072202	39.91464719
1975	53.77668309	15	18.21043519	27.97416723	47.28842412	66.43634887	39.17228836
1976	61.24794745	16	18.77705202	33.38290279	41.12354086	67.66218255	41.18553983
1977	58.08702791	18	19.95750374	34.92522094	41.87743191	68.88092502	42.57169578
1978	64.81937603	19	18.49374361	42.9682189	51.28891051	70.10239609	48.06621342
1979	64.5320197	22	23.11324467	46.86862678	53.57490272	71.3404306	52.05793014
1980	66.00985222	24	23.21555048	49.7110809	56.99173152	72.60552062	53.83679032
1981	67.52873563	27	28.47249547	50.70955133	53.55058366	73.89778086	55.5237316
1982	64.57307061	29	32.1712442	52.86369816	59.08317121	75.21520466	58.0241055
1983	63.58784893	29	35.35059416	53.18235894	66.93822957	76.56313971	59.29065654
1984	71.26436782	29	35.0830251	53.39479946	68.92023346	77.94755772	58.94869576
1985	67.40558292	32	39.1516487	54.21481985	71.03599222	79.37074559	60.30933892
1986	68.4318555	36	42.59069804	55.28127124	77.23735409	80.83581709	63.13725915
1987	74.01477833	38	46.64358228	60.37559483	78.74513619	82.33620312	66.22878487
1988	66.83087028	40	52.64027701	60.00594833	93.25145914	83.8522501	68.72563572
1989	67.48768473	44	54.78869914	60.0739293	89.88326848	85.35750842	68.86179139
1990	66.99507389	49	55.74879987	64.05081577	94.60116732	86.83219308	71.78663676
1991	69.41707718	53	63.40599669	63.24779062	97.41001946	88.26979693	73.67581358
1992	71.42857143	52	68.39537263	63.91485384	94.56468872	89.6731104	73.48222499
1993	72.20853859	55	63.25647281	70.50050986	88.91050584	91.04337222	74.09465531
1994	72.90640394	64	65.84559692	75.93473827	85.04377432	92.38516818	77.58163823
1995	72.45484401	67	73.47131502	80.1792998	93.04474708	93.70272714	81.87952062
1996	68.76026273	72	78.92500197	81.6196465	97.38570039	94.99512612	84.21714793
1997	86.98686371	81	74.61241835	84.86573759	100.9849222	96.26267482	87.31073873
1998	92.52873563	80	82.46635713	91.6510877	95.80496109	97.51298594	89.58893376
1999	97.98850575	86	84.87447863	101.2364038	100.5107004	98.75610078	94.81849282
2000	100	100	100	100	100	100	100
2001	100.7799672	115	96.56095066	108.132223	94.37013619	101.2475577	104.411954
2002	101.9293924	117	95.0342331	114.1867777	88.81322957	102.4993616	104.7012017
2003	102.955665	128	87.05437948	123.1815092	88.64299611	103.7582014	108.0942961
2004	107.9228243	134	98.52837019	124.192726	97.38570039	105.0264397	112.1141168
2005	111.6174056	145	101.5031085	129.4824949	96.86284047	106.3056963	115.9760496
2006	108.6617406	152	104.0135358	131.1097893	113.594358	107.5971003	119.1449215
2007	114.3267652	161	99.15794444	135.21414	116.1113813	108.9006556	120.847164
2008	115.1888342	176	102.9039112	137.5084976	104.7543774	110.2150686	123.1926389
2009	118.0213465	187	111.3008578	132.8093134	122.6167315	111.5381212	126.5145892
2010	121.2233169	198	116.4161486	136.5610129	132.6118677	112.8675196	131.160993
2011	122.4958949	208	122.0114897	142.4371176	134.6789883	114.2026906	134.9540816
2012	124.3431856	217	128.1970567	143.5205642	149.1974708	115.5420781	138.5314722
2013	107.8407225	234	129.1099394	149.4136642	151.9090467	116.881031	142.6058242
2014	113.2183908	240	138.238766	157.2102311	167.3516537	118.2137444	148.1356606
2015	103.9819376	251	146.1714016	165.8735554	168.0082685	119.5355796	152.8952472
2016	105.7471264	266	148.752656	174.6048606	167.0233463	120.8443015	157.5251806
